year_month,category,amt
202311,고기요리,102431815172
202311,닭/오리요리,58258729502
202311,별식/퓨전요리,33121707484
202311,부페,6954527276
202311,분식,49170793416
202311,양식,21600728623
202311,유흥주점,16939728444
202311,음식배달서비스,898602946
202311,일식/수산물,83108762137
202311,제과/제빵/떡/케익,55466127420
202311,중식,32137255060
202311,커피/음료,90154471383
202311,패스트푸드,38020800601
202311,한식,296940583772
202311,휴게소/대형업체,6010072232
202312,간이주점,53261940974
202312,고기요리,119501634892
202312,닭/오리요리,54609672880
202312,별식/퓨전요리,36307872980
202312,부페,8176960270
202312,분식,50500312392
202312,양식,27455467576
202312,유흥주점,21473816127
202312,음식배달서비스,666455051
202312,일식/수산물,102707407902
202312,제과/제빵/떡/케익,62104361517
202312,중식,35725643169
202312,커피/음료,95329031218
202312,패스트푸드,40375486726
202312,한식,327822382528
202312,휴게소/대형업체,5851279331
202401,간이주점,49109515222
202401,고기요리,106228199320
202401,닭/오리요리,51028116971
202401,별식/퓨전요리,33904554623
202401,부페,6963434541
202401,분식,48690268947
202401,양식,23363996387
202401,유흥주점,16926488337
202401,음식배달서비스,712114367
202401,일식/수산물,83151456688
202401,제과/제빵/떡/케익,54255891372
202401,중식,33204852465
202401,커피/음료,87022340000
202401,패스트푸드,38578830042
202401,한식,295531665227
202401,휴게소/대형업체,5111888681
202402,간이주점,46890193545
202402,고기요리,102965370764
202402,닭/오리요리,48653098589
202402,별식/퓨전요리,30854282893
202402,부페,6402212328
202402,분식,46219101806
202402,양식,22620055042
202402,유흥주점,16656797663
202402,음식배달서비스,977935522
202402,일식/수산물,82644765076
202402,제과/제빵/떡/케익,55053415218
202402,중식,32885271944
202402,커피/음료,86902185477
202402,패스트푸드,38277787912
202402,한식,286135978947
202402,휴게소/대형업체,5963864752
202403,간이주점,52431602119
202403,고기요리,118123451867
202403,닭/오리요리,56242288718
202403,별식/퓨전요리,35152737040
202403,부페,7210039754
202403,분식,53907064388
202403,양식,24460061624
202403,유흥주점,18158481864
202403,음식배달서비스,588297726
202403,일식/수산물,94109803758
202403,제과/제빵/떡/케익,57177267624
202403,중식,35794603304
202403,커피/음료,101778319009
202403,패스트푸드,39968414806
202403,한식,339585242586
202403,휴게소/대형업체,6394514998
202404,간이주점,50914161219
202404,고기요리,111611418334
202404,닭/오리요리,55099906673
202404,별식/퓨전요리,33227810833
202404,부페,6619857251
202404,분식,54557936529
202404,양식,22478954872
202404,유흥주점,16674719284
202404,음식배달서비스,797028518
202404,일식/수산물,87098114398
202404,제과/제빵/떡/케익,53364900478
202404,중식,32405474580
202404,커피/음료,104627586564
202404,패스트푸드,39770894037
202404,한식,325700050547
202404,휴게소/대형업체,6392319200
202405,간이주점,52873629038
202405,고기요리,117845740822
202405,닭/오리요리,58875718371
202405,별식/퓨전요리,37526967749
202405,부페,7209959822
202405,분식,56448338819
202405,양식,23982899704
202405,유흥주점,17231651220
202405,음식배달서비스,939853587
202405,일식/수산물,92282724339
202405,제과/제빵/떡/케익,55746998897
202405,중식,34248546752
202405,커피/음료,106694648203
202405,패스트푸드,39416366828
202405,한식,343377426690
202405,휴게소/대형업체,6713077294
202406,간이주점,51149287186
202406,고기요리,106374766969
202406,닭/오리요리,57453531653
202406,별식/퓨전요리,35699132519
202406,부페,6315021796
202406,분식,54320323907
202406,양식,21752682986
202406,유흥주점,15986555306
202406,음식배달서비스,731086404
202406,일식/수산물,81932056831
202406,제과/제빵/떡/케익,49917359331
202406,중식,31885998610
202406,커피/음료,106944110926
202406,패스트푸드,37131327586
202406,한식,318450020609
202406,휴게소/대형업체,6392518327
202407,간이주점,49708406081
202407,고기요리,104361008313
202407,닭/오리요리,60338873868
202407,별식/퓨전요리,38509837803
202407,부페,6114033599
202407,분식,52669249425
202407,양식,22062392788
202407,유흥주점,16518335895
202407,음식배달서비스,609245273
202407,일식/수산물,80143188269
202407,제과/제빵/떡/케익,48777675305
202407,중식,32547025460
202407,커피/음료,103735066458
202407,패스트푸드,36816263395
202407,한식,314106893524
202407,휴게소/대형업체,6221495010
202408,간이주점,51165780697
202408,고기요리,108936865916
202408,닭/오리요리,56805167431
202408,별식/퓨전요리,41714506411
202408,부페,6494387539
202408,분식,55819031265
202408,양식,23958555173
202408,유흥주점,16809302511
202408,음식배달서비스,977548002
202408,일식/수산물,87787205037
202408,제과/제빵/떡/케익,51085148130
202408,중식,33733646762
202408,커피/음료,109729270424
202408,패스트푸드,39660600510
202408,한식,330948419498
202408,휴게소/대형업체,6911591136
202409,간이주점,48831866228
202409,고기요리,100601732830
202409,닭/오리요리,48639941624
202409,별식/퓨전요리,43291222255
202409,부페,6324242146
202409,분식,50012047173
202409,양식,21065828148
202409,유흥주점,16580514565
202409,음식배달서비스,1006920759
202409,일식/수산물,89419828286
202409,제과/제빵/떡/케익,55834506982
202409,중식,32391082449
202409,커피/음료,101941662447
202409,패스트푸드,38135609758
202409,한식,314081717382
202409,휴게소/대형업체,7309964604
202410,간이주점,49043724302
202410,고기요리,105181757247
202410,닭/오리요리,51846308220
202410,별식/퓨전요리,50292641557
202410,부페,7529711970
202410,분식,54078215157
202410,양식,22705300280
202410,유흥주점,17460432684
202410,음식배달서비스,1408092853
202410,일식/수산물,91879536142
202410,제과/제빵/떡/케익,55405094301
202410,중식,34533945143
202410,커피/음료,100945775934
202410,패스트푸드,39862279867
202410,한식,327510653841
202410,휴게소/대형업체,6726091586
202411,간이주점,45724080497
202411,고기요리,101641855073
202411,닭/오리요리,47385488543
202411,별식/퓨전요리,49223927005
202411,부페,7469596519
202411,분식,48202271172
202411,양식,21481046845
202411,유흥주점,16663163028
202411,음식배달서비스,1047428329
202411,일식/수산물,88898703311
202411,제과/제빵/떡/케익,53776887806
202411,중식,33262625588
202411,커피/음료,91426527435
202411,패스트푸드,37137990704
202411,한식,303734556720
202411,휴게소/대형업체,6400731108
202412,간이주점,48639059499
202412,고기요리,111283357740
202412,닭/오리요리,48760404604
202412,별식/퓨전요리,55021745697
202412,부페,8282750611
202412,분식,47767665818
202412,양식,27730939856
202412,유흥주점,19290726360
202412,음식배달서비스,751651708
202412,일식/수산물,101593713484
202412,제과/제빵/떡/케익,59954986506
202412,중식,35036872400
202412,커피/음료,94119817187
202412,패스트푸드,38047980570
202412,한식,322689666026
202412,휴게소/대형업체,6018845248
202501,간이주점,40050445639
202501,고기요리,90681904677
202501,닭/오리요리,39764703754
202501,별식/퓨전요리,46570084226
202501,부페,6840417943
202501,분식,40863479714
202501,양식,22516087832
202501,유흥주점,13807538134
202501,음식배달서비스,720161693
202501,일식/수산물,78204069482
202501,제과/제빵/떡/케익,51512288627
202501,중식,30860425565
202501,커피/음료,82244757528
202501,패스트푸드,35217520315
202501,한식,276336177471
202501,휴게소/대형업체,7196583317
202502,간이주점,34968139501
202502,고기요리,79591000353
202502,닭/오리요리,36531675414
202502,별식/퓨전요리,42033852325
202502,부페,6711888271
202502,분식,38061453491
202502,양식,20547065580
202502,유흥주점,12583012320
202502,음식배달서비스,624037799
202502,일식/수산물,65516078119
202502,제과/제빵/떡/케익,44310956238
202502,중식,28165170203
202502,커피/음료,74549183677
202502,패스트푸드,32008929457
202502,한식,266933498800
202502,휴게소/대형업체,6873834001
202503,간이주점,41865186414
202503,고기요리,97994432806
202503,닭/오리요리,44561449179
202503,별식/퓨전요리,48988170540
202503,부페,7657030739
202503,분식,45832125000
202503,양식,23436639084
202503,유흥주점,14958807439
202503,음식배달서비스,768680975
202503,일식/수산물,80723429066
202503,제과/제빵/떡/케익,52810511708
202503,중식,31902697076
202503,커피/음료,92346461020
202503,패스트푸드,37492627127
202503,한식,323800586700
202503,휴게소/대형업체,8370791842
202504,간이주점,39263486373
202504,고기요리,91588335446
202504,닭/오리요리,43523571229
202504,별식/퓨전요리,46013482935
202504,부페,8717420059
202504,분식,45935090057
202504,양식,21196616883
202504,유흥주점,13927989719
202504,음식배달서비스,856952721
202504,일식/수산물,73849155863
202504,제과/제빵/떡/케익,50980060048
202504,중식,29700689510
202504,커피/음료,92493624117
202504,패스트푸드,37548250559
202504,한식,306890270789
202504,휴게소/대형업체,8197945556
202505,간이주점,43038457560
202505,고기요리,103359518300
202505,닭/오리요리,49024707861
202505,별식/퓨전요리,50334372177
202505,부페,9450685979
202505,분식,50707908020
202505,양식,24617511803
202505,유흥주점,14699030991
202505,음식배달서비스,1186576963
202505,일식/수산물,83706374738
202505,제과/제빵/떡/케익,54272475353
202505,중식,32245670770
202505,커피/음료,100329448590
202505,패스트푸드,39407946074
202505,한식,339142754457
202505,휴게소/대형업체,9752503962
202506,간이주점,41313679398
202506,고기요리,91903081156
202506,닭/오리요리,47300712230
202506,별식/퓨전요리,45173776622
202506,부페,8286334347
202506,분식,49504404297
202506,양식,21990424087
202506,유흥주점,13891375699
202506,음식배달서비스,853201616
202506,일식/수산물,74343169796
202506,제과/제빵/떡/케익,48107553253
202506,중식,30133390437
202506,커피/음료,100308643267
202506,패스트푸드,37116793311
202506,한식,308391752819
202506,휴게소/대형업체,8894233332
202507,간이주점,44108444378
202507,고기요리,96088245951
202507,닭/오리요리,55891536412
202507,별식/퓨전요리,50016259486
202507,부페,8286376087
202507,분식,51108397484
202507,양식,24067087288
202507,유흥주점,14831433009
202507,음식배달서비스,761623091
202507,일식/수산물,76684225821
