category,amt,cnt,year_month
패스트푸드,36743566462.0,3141081.0,202406
한식,317735947045.0,9955141.0,202406
간이주점,49518241343.0,1091696.0,202407
고기요리,164333642557.0,3657492.0,202407
디저트/음료,151516682345.0,15996335.0,202407
별식/퓨전요리,38394674076.0,1557671.0,202407
분식,52331672035.0,3570039.0,202407
양식,21937208660.0,640772.0,202407
일식/수산물,80035279746.0,1607833.0,202407
중식,32378191988.0,1363627.0,202407
패스트푸드,36466855453.0,3079280.0,202407
한식,313408872885.0,9872584.0,202407
간이주점,50982978427.0,1108180.0,202408
고기요리,165388799932.0,3588614.0,202408
디저트/음료,159861912549.0,16823002.0,202408
별식/퓨전요리,41596506335.0,1643698.0,202408
분식,55528516269.0,3638252.0,202408
양식,23854212123.0,665501.0,202408
일식/수산물,87680291386.0,1712357.0,202408
중식,33580126786.0,1376978.0,202408
패스트푸드,39323038978.0,3249623.0,202408
한식,330299001892.0,10235421.0,202408
간이주점,48656639523.0,1049815.0,202409
고기요리,148889533917.0,3210846.0,202409
디저트/음료,156821360765.0,16007648.0,202409
별식/퓨전요리,43164827812.0,1662430.0,202409
분식,49727414606.0,3340703.0,202409
양식,20956194027.0,587389.0,202409
일식/수산물,89305671008.0,1740663.0,202409
중식,32213646639.0,1310532.0,202409
패스트푸드,37736293205.0,3138741.0,202409
한식,313374478412.0,9576745.0,202409
간이주점,48888099857.0,1056315.0,202410
고기요리,156632977636.0,3498191.0,202410
디저트/음료,155384013542.0,16046689.0,202410
별식/퓨전요리,50144007223.0,1952663.0,202410
분식,53751465459.0,3748016.0,202410
양식,22580811859.0,652171.0,202410
일식/수산물,91758094312.0,1837376.0,202410
중식,34349795855.0,1417630.0,202410
패스트푸드,39437572538.0,3303613.0,202410
한식,326784699892.0,10306903.0,202410
간이주점,45609968390.0,956949.0,202411
고기요리,148708292874.0,3251505.0,202411
디저트/음료,144445540214.0,14457835.0,202411
별식/퓨전요리,49114407087.0,1888865.0,202411
분식,47926790692.0,3375447.0,202411
양식,21380242962.0,585523.0,202411
일식/수산물,88796444046.0,1762529.0,202411
중식,33110507038.0,1340918.0,202411
패스트푸드,36807135783.0,2989444.0,202411
한식,303133527465.0,9410470.0,202411
간이주점,48500896206.0,943642.0,202412
고기요리,159673603112.0,3249350.0,202412
디저트/음료,153225994063.0,14330232.0,202412
별식/퓨전요리,54897471682.0,2002555.0,202412
분식,47477898741.0,3229073.0,202412
양식,27606333868.0,630544.0,202412
일식/수산물,101485544133.0,1815717.0,202412
중식,34879511354.0,1316666.0,202412
패스트푸드,37725194249.0,2921530.0,202412
한식,322037899077.0,9452544.0,202412
간이주점,39803758639.0,788036.0,202501
고기요리,130192914222.0,2673019.0,202501
디저트/음료,133212283612.0,12420048.0,202501
별식/퓨전요리,46464063544.0,1651392.0,202501
분식,40679965645.0,2628864.0,202501
양식,22439412622.0,539983.0,202501
일식/수산물,78127529739.0,1469822.0,202501
중식,30758004120.0,1137086.0,202501
패스트푸드,34979980470.0,2733052.0,202501
한식,275866770535.0,8198385.0,202501
간이주점,34788687359.0,689233.0,202502
고기요리,115872854981.0,2430575.0,202502
디저트/음료,118318180102.0,11239553.0,202502
별식/퓨전요리,41928415958.0,1514939.0,202502
분식,37874083217.0,2485505.0,202502
양식,20466341432.0,515618.0,202502
일식/수산물,65442094006.0,1260715.0,202502
중식,28056050183.0,1073421.0,202502
패스트푸드,31752617216.0,2504285.0,202502
한식,266450804854.0,7985003.0,202502
간이주점,41668845976.0,827937.0,202503
고기요리,142263446684.0,2932584.0,202503
디저트/음료,144515384831.0,13930161.0,202503
별식/퓨전요리,48876972659.0,1728781.0,202503
분식,45617571576.0,2940177.0,202503
양식,23355333303.0,600278.0,202503
일식/수산물,80647173044.0,1551239.0,202503
중식,31777066992.0,1215487.0,202503
패스트푸드,37187792325.0,2998716.0,202503
한식,323238540645.0,9734518.0,202503
간이주점,39104013611.0,802889.0,202504
고기요리,134837971930.0,2870684.0,202504
디저트/음료,142779773684.0,14239824.0,202504
별식/퓨전요리,45911019101.0,1677508.0,202504
분식,45716029176.0,3006366.0,202504
양식,21115032363.0,580752.0,202504
일식/수산물,73765152614.0,1473361.0,202504
중식,29569498063.0,1183496.0,202504
패스트푸드,37198158958.0,3043706.0,202504
한식,306343209893.0,9563615.0,202504
간이주점,42869929108.0,891219.0,202505
고기요리,152066191833.0,3105092.0,202505
디저트/음료,153872560169.0,15021561.0,202505
별식/퓨전요리,50221320582.0,1733815.0,202505
분식,50481601575.0,3157825.0,202505
양식,24526053093.0,619103.0,202505
일식/수산물,83615338799.0,1585622.0,202505
중식,32115772109.0,1229672.0,202505
패스트푸드,39079243742.0,3115531.0,202505
한식,338512449407.0,10231384.0,202505
간이주점,41179499637.0,865051.0,202506
고기요리,138960762199.0,2926752.0,202506
디저트/음료,147715466618.0,15224546.0,202506
별식/퓨전요리,45076532068.0,1593861.0,202506
분식,49308223904.0,3053620.0,202506
양식,21914727238.0,586408.0,202506
일식/수산물,74260721978.0,1459408.0,202506
중식,30012857275.0,1185719.0,202506
패스트푸드,36804544583.0,2998316.0,202506
한식,307882463174.0,9593337.0,202506
간이주점,43900519810.0,917026.0,202507
고기요리,151596370416.0,3191365.0,202507
디저트/음료,155525864701.0,15991596.0,202507
별식/퓨전요리,49776896829.0,1752901.0,202507
분식,50788857238.0,3088764.0,202507
양식,23933645642.0,628975.0,202507
일식/수산물,76551260135.0,1502669.0,202507
중식,31916779394.0,1241386.0,202507
패스트푸드,39728246291.0,3183775.0,202507
한식,328465085372.0,10090820.0,202507
간이주점,44024201052.0,927068.0,202508
고기요리,152091717749.0,3175813.0,202508
디저트/음료,160270528233.0,16206778.0,202508
별식/퓨전요리,52646089126.0,1811136.0,202508
분식,51493065050.0,3079298.0,202508
양식,25317567692.0,646712.0,202508
일식/수산물,84802014224.0,1654184.0,202508
중식,32767841391.0,1266367.0,202508
패스트푸드,43078375747.0,3438126.0,202508
한식,337833866178.0,10437518.0,202508
간이주점,40343218709.0,852492.0,202509
고기요리,134719388843.0,2892779.0,202509
디저트/음료,148301870905.0,15300799.0,202509
별식/퓨전요리,49005311531.0,1804955.0,202509
분식,44989964306.0,2975339.0,202509
양식,21710986078.0,586089.0,202509
일식/수산물,78838537857.0,1597895.0,202509
중식,29774584912.0,1213157.0,202509
패스트푸드,39449188673.0,3249065.0,202509
한식,317282490147.0,10050854.0,202509
간이주점,42479214648.0,889209.0,202510
고기요리,140808647719.0,2957211.0,202510
디저트/음료,157716954465.0,15208654.0,202510
별식/퓨전요리,52606002644.0,1830958.0,202510
분식,46807527481.0,2931388.0,202510
양식,23624360438.0,598354.0,202510
일식/수산물,87275318236.0,1682500.0,202510
중식,32272475971.0,1244116.0,202510
패스트푸드,42062117092.0,3287130.0,202510
한식,329522802700.0,10360811.0,202510
간이주점,40195674133.0,816870.0,202511
고기요리,135462870654.0,2881168.0,202511
디저트/음료,145493441380.0,14189796.0,202511
별식/퓨전요리,50277840389.0,1824080.0,202511
분식,44098754972.0,2892652.0,202511
양식,23350298953.0,576926.0,202511
일식/수산물,83259531379.0,1643182.0,202511
중식,30829852696.0,1220917.0,202511
패스트푸드,39705113280.0,3148342.0,202511
한식,328383981091.0,10285470.0,202511
