month,age_group,card_tpbuz_nm_2,amt
202208,30대,고기요리,32161184163
202208,30대,디저트/음료,32841305433
202208,30대,별식/퓨전요리,5321548910
202208,30대,분식,9133139052
202208,30대,양식,5462884107
202208,30대,일식/수산물,13910902673
202208,30대,중식,6171215561
202208,30대,패스트푸드,9815265509
202208,30대,한식,53650360820
202208,40대,간이주점,11554484822
202208,40대,고기요리,45807730491
202208,40대,디저트/음료,41607095962
202208,40대,별식/퓨전요리,7469895978
202208,40대,분식,14611994667
202208,40대,양식,6891192726
202208,40대,일식/수산물,21429835551
202208,40대,중식,9149962280
202208,40대,패스트푸드,11889903049
202208,40대,한식,76564882788
202208,50대,간이주점,7962045469
202208,50대,고기요리,41573210853
202208,50대,디저트/음료,30651552511
202208,50대,별식/퓨전요리,6712848341
202208,50대,분식,11850216174
202208,50대,양식,4092420674
202208,50대,일식/수산물,22919753676
202208,50대,중식,7203518306
202208,50대,패스트푸드,7655457716
202208,50대,한식,75240020623
202208,60대+,간이주점,2843398048
202208,60대+,고기요리,24554145515
202208,60대+,디저트/음료,16834975222
202208,60대+,별식/퓨전요리,4088918140
202208,60대+,분식,6647919997
202208,60대+,양식,1798567588
202208,60대+,일식/수산물,16288987498
202208,60대+,중식,3915081025
202208,60대+,패스트푸드,3022845925
202208,60대+,한식,51540150284
202209,20대,간이주점,13027161370
202209,20대,고기요리,21839104657
202209,20대,디저트/음료,21420315643
202209,20대,별식/퓨전요리,3191336418
202209,20대,분식,5358332640
202209,20대,양식,3429500246
202209,20대,일식/수산물,8639020921
202209,20대,중식,3539496423
202209,20대,패스트푸드,7267542941
202209,20대,한식,32777567467
202209,30대,간이주점,11874351424
202209,30대,고기요리,32109225016
202209,30대,디저트/음료,33914884033
202209,30대,별식/퓨전요리,5229348866
202209,30대,분식,8589007260
202209,30대,양식,5202248244
202209,30대,일식/수산물,15635769268
202209,30대,중식,6106064823
202209,30대,패스트푸드,9628386645
202209,30대,한식,52972813101
202209,40대,간이주점,11680919536
202209,40대,고기요리,43139748911
202209,40대,디저트/음료,41959259403
202209,40대,별식/퓨전요리,7045673574
202209,40대,분식,13123499221
202209,40대,양식,5837173530
202209,40대,일식/수산물,22664856275
202209,40대,중식,8778993044
202209,40대,패스트푸드,11244539423
202209,40대,한식,72018753583
202209,50대,간이주점,8018129869
202209,50대,고기요리,38131098553
202209,50대,디저트/음료,31494769650
202209,50대,별식/퓨전요리,6381085372
202209,50대,분식,10769940094
202209,50대,양식,3645418729
202209,50대,일식/수산물,24326620513
202209,50대,중식,6808779359
202209,50대,패스트푸드,7165502228
202209,50대,한식,70871404363
202209,60대+,간이주점,2896646830
202209,60대+,고기요리,21847668562
202209,60대+,디저트/음료,18460301338
202209,60대+,별식/퓨전요리,3978881247
202209,60대+,분식,6104435627
202209,60대+,양식,1622746585
202209,60대+,일식/수산물,17863281710
202209,60대+,중식,3734216314
202209,60대+,패스트푸드,2759150958
202209,60대+,한식,49345764693
202210,20대,간이주점,13282248173
202210,20대,고기요리,23625108522
202210,20대,디저트/음료,21974824573
202210,20대,별식/퓨전요리,3684799894
202210,20대,분식,6030840523
202210,20대,양식,3684631214
202210,20대,일식/수산물,9347962163
202210,20대,중식,3902580124
202210,20대,패스트푸드,7683378264
202210,20대,한식,34903916726
202210,30대,간이주점,12361904785
202210,30대,고기요리,35214651844
202210,30대,디저트/음료,34301624513
202210,30대,별식/퓨전요리,6118578324
202210,30대,분식,9650889535
202210,30대,양식,5994711702
